CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
10167,DE: Dropped or ignored exception,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/validator/PatientIdentifierValidatorTest.java,PatientIdentifierValidatorTest.validateIdentifier_shouldPassValidationIfPatientIdentifierIsVoided
10166,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/main/java/org/openmrs/util/databasechange/MigrateDrugOrderUnitsToCodedDoseUnitsChangeset.java,MigrateDrugOrderUnitsToCodedDoseUnitsChangeset.migrateUnitsToCodedValue
10165,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/module/ModuleUtilTest.java,ModuleUtilTest.getEmptyJarDestinationFolder
10164,Dm: Dubious method used,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/api/src/test/java/org/openmrs/util/OpenmrsUtilTest.java,OpenmrsUtilTest.copyFile_shouldCopyInputstreamToOutputstreamAndCloseTheOutputstream
10162,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/web/src/main/java/org/openmrs/module/web/WebModuleUtil.java,WebModuleUtil.startModule
10161,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/validator/PatientProgramValidatorTest.java,PatientProgramValidatorTest.validate_shouldFailIfThereIsMoreThanOneStateWithANullStartDateInTheSameWorkflow
10157,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/test/java/org/openmrs/util/databasechange/DatabaseUpgradeTestUtil.java,DatabaseUpgradeTestUtil.DatabaseUpgradeTestUtil
10155,Se: Incorrect definition of Serializable class,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/Obs.java,
10152,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/util/databasechange/Database1_9_7UpgradeIT.java,Database1_9_7UpgradeIT.beforeClass
10151,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/module/ModuleFactoryTest.java,ModuleFactoryTest.loadModule_shouldNotLoadAnOlderVersionOfTheSameModule
10150,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/main/java/org/openmrs/module/ModuleFactory.java,ModuleFactory.runLiquibase
10149,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/api/impl/ObsServiceImpl.java,ObsServiceImpl.voidExistingObs
10147,SIC: Inner class could be made static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/validator/BaseAttributeTypeValidatorTest.java,
10146,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/main/java/org/openmrs/messagesource/impl/MutableResourceBundleMessageSource.java,MutableResourceBundleMessageSource.merge
10145,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/main/java/org/openmrs/util/databasechange/MoveDeletedHL7sChangeSet.java,MoveDeletedHL7sChangeSet.execute
10144,DE: Dropped or ignored exception,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/util/databasechange/BooleanConceptChangeSet.java,BooleanConceptChangeSet.getInt
10142,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/main/java/org/openmrs/api/impl/EncounterServiceImpl.java,EncounterServiceImpl.saveEncounter
10140,HE: Equal objects must have equal hashcodes,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/Condition.java,Condition.equals
10139,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/util/OpenmrsUtil.java,OpenmrsUtil.getApplicationDataDirectory
10138,Bx: Questionable Boxing of primitive value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/main/java/org/openmrs/validator/VisitValidator.java,VisitValidator.calculateGracePeriodInYears
10137,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/api/ObsServiceTest.java,ObsServiceTest.purgeObs_shouldDeleteTheGivenObsFromTheDatabase
10136,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/test/java/org/openmrs/module/ModuleFileParserUnitTest.java,ModuleFileParserUnitTest.writeConfigXmlToFile
10133,SS: Unread field should be static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/UserTest.java,
10132,NP: Null pointer dereference,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/Obs.java,Obs.getValueAsBoolean
10131,UPM: Private method is never called,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/main/java/org/openmrs/api/db/hibernate/HibernatePatientDAO.java,HibernatePatientDAO.findPatients
10130,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/api/ObsServiceTest.java,ObsServiceTest.getComplexObs_shouldFillInComplexDataObjectForComplexObs
10129,SIC: Inner class could be made static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/util/databasechange/Database1_9_7UpgradeIT.java,
10127,Bx: Questionable Boxing of primitive value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/main/java/org/openmrs/logic/result/Result.java,Result.toNumber
10123,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/test/BaseContextSensitiveTest.java,BaseContextSensitiveTest.BaseContextSensitiveTest
10120,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/main/java/org/openmrs/hl7/handler/ORUR01Handler.java,ORUR01Handler.parseObs
10119,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/main/java/org/openmrs/api/db/hibernate/HibernateUserDAO.java,HibernateUserDAO.updateUserPassword
10118,SS: Unread field should be static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/api/UserServiceTest.java,
10117,Dm: Dubious method used,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/web/src/test/java/org/openmrs/module/web/WebModuleUtilTest.java,WebModuleUtilTest.startModule_dwrModuleXmlshouldContainModuleInfo
10116,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/util/databasechange/DatabaseUpgradeTestUtil.java,DatabaseUpgradeTestUtil.close
10114,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/FormServiceTest.java,FormServiceTest.duplicateForm_shouldCopyResourcesForOldFormToNewForm
10113,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/logic/result/ResultTest.java,ResultTest.Result_shouldNotFailWithNullList
10111,Se: Incorrect definition of Serializable class,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/Condition.java,
10109,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/api/db/ConceptDAOTest.java,ConceptDAOTest.getConcepts_shouldNotReturnConceptsWithMatchingNamesThatAreVoided
10108,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/obs/AbstractHandlerTest.java,AbstractHandlerTest.getOutputFileToWrite_shouldCorrectlyNameTitledFileWithExtension
